bigg_id	universal_bigg_id	name
mmcoa__R_c	mmcoa__R	(R)-Methylmalonyl-CoA
ssaltpp_c	ssaltpp	Succinate semialdehyde-thiamin diphosphate anion
13BDglcn_c	13BDglcn	1 3 beta D Glucan C6H10O5
1ag3p_SC_c	1ag3p_SC	1 Acyl sn glycerol 3 phosphate C1920H3622O700P100
1mncam_c	1mncam	1 Methylnicotinamide C7H9N2O
1p3h5c_m	1p3h5c	L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3
23dhmb_m	23dhmb	(R)-2,3-Dihydroxy-3-methylbutanoate
23dpg_c	23dpg	2 3 Disphospho D glycerate C3H3O10P2
25dhpp_c	25dhpp	2 5 Diamino 6 hydroxy 4  5  phosphoribosylamino  pyrimidine C9H14N5O8P
2dglc_c	2dglc	2 Deoxy D glucose C6H12O5
2hpmmbq_m	2hpmmbq	2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone C38H56O3
2mbac_e	2mbac	2 methylbutyl acetate C7H14O2
2mbald_c	2mbald	2 methylbutyraldehyde C5H10O
2mbtoh_e	2mbtoh	2 methyl 1 butanol C5H12O
2mcit_m	2mcit	2-Methylcitrate
2mppal_e	2mppal	2 methylpropanal C4H8O
2oxoadp_m	2oxoadp	2 Oxoadipate C6H6O5
2phetoh_e	2phetoh	2 phenylethanol C8H10O
34hpp_m	34hpp	3-(4-Hydroxyphenyl)pyruvate
35ccmp_c	35ccmp	3  5  Cyclic CMP C9H11N3O7P
3dh5hpb_m	3dh5hpb	3 Hexaprenyl 4 5 dihydroxybenzoate C37H53O4
3hdcoa_x	3hdcoa	(S)-3-Hydroxydecanoyl-CoA
3hhdcoa_x	3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA
3hxccoa_x	3hxccoa	 S  3 Hydroxyhexacosyl CoA C47H82N7O18P3S
3ipmmest_c	3ipmmest	3 isopropylmalate methyl ester C8H13O5
3mbald_m	3mbald	3 Methylbutanal C5H10O
3odcoa_x	3odcoa	3-Oxodecanoyl-CoA
